"","Year","Month","Day","Sampling Site","Depth","Conductivity (mmohs·cm-1)","pH (units)","Alkalinity (mg·L-1 as CaCO3)","Turbidity (NTU)","Color (PT units)","Calcium (mg·L-1)","Magnesium (mg·L-1)","Iron (mg·L-1)","Total Phosphorus (mg·L-1 as P)","Total Filterable Phosphorus (mg·L-1 as P)","Filterable Reactive Phosphorus (mg·L-1 as P)","Total Kjeldahl Nitrogen (mg·L-1 as N)","Ammonia (mg·L-1 as N)","Nitrate + Nitrite (mg·L-1 as N)","Reactive Silicon (mg·L-1 as Si)","Particulate Carbon (mg·L-1 as C)","Total Particulate Phosphorus (mg·L-1 as P)","Total Particulate Nitrogen (mg·L-1 as N)","N:P (atom ratio)"
"1",1996,3,19,"1",1,187,6,5.3,1,11,3,3.6,46,2.8,1.6,0.8,41.1,1.7,64.7,738,7,NA,NA,"90:1"
"2",1996,3,19,"1",66,235,6,6.7,0.8,10,3,5.1,36,3.2,2.3,1,28.2,3.6,71.4,712,7,NA,NA,"74:1"
"3",1996,3,19,"2",1,193,5.9,7.3,1,10,3,3.6,34,4,1.5,0.8,54.2,2.1,66.3,700,7,NA,NA,"72:1"
"4",1996,3,19,"2",66,201,6.5,7.5,0.5,8,3,4.3,29,2.7,1.1,0.8,29.8,1.8,69.6,693,7,NA,NA,"88:1"
"5",1996,3,19,"3",1,246,6.3,7.2,0.5,9,3,3.6,27,3.1,1.1,0.8,42,1.6,66.2,700,7,NA,NA,"83:1"
"6",1996,3,19,"3",66,218,6,5.6,0.5,12,3,4.3,36,4,4.3,3.2,50.1,1.6,57.4,700,7,NA,NA,"64:1"
"7",1996,4,20,"1",1,204,6.3,6.5,0.2,8,2.7,4.6,18,3.3,1.4,0.6,69.6,4.2,67.6,772,7,NA,NA,"99:1"
"8",1996,4,20,"1",66,207,6.3,6.5,0.2,9,2.7,4.6,32,3.5,1.9,1,60.7,4.7,68.2,759,7,NA,NA,"88:1"
"9",1996,4,20,"2",1,206,6.4,6.3,0.3,8,2.7,4.6,29,2.7,0.9,0.8,41.1,3,67.3,759,7,NA,NA,"96:1"
"10",1996,4,20,"2",66,207,6.3,6.3,0.3,9,2.7,3.8,15,2.7,1.4,0.9,37.2,2.7,63.2,759,7,NA,NA,"89:1"
"11",1996,4,20,"3",1,210,7,7.8,0.3,8,2.7,4.6,18,4.6,1.4,0.6,65.9,2.7,68.7,759,7,NA,NA,"70:1"
"12",1996,4,20,"3",66,210,6.8,7.5,0.2,9,3.6,3.8,29,2.5,0.8,0.5,50.9,0.9,67.2,759,7,NA,NA,"113:1"
