Sample_date,Lake_name,Station,Depth(m),TP_ug_L,TFP_ug_L,FRP_ug_L,TKN_ug_L,TA_ug_L,N+N_ug_L,Rsi_ug_L
4/18/2023,Redoubt,2,1,14,12.8,11.1,39.1,16.9,67.9,112.179
4/18/2023,Redoubt,2,66,3.6,1.8,0.9,31.5,13.8,60.9,139.986
4/18/2023,Redoubt,3,1,4.3,2.8,1.4,42.8,6.8,52.4,325.995
4/18/2023,Redoubt,3,66,4,2.1,1.3,38.1,9.8,54.3,384.066
5/16/2023,Redoubt,2,1,4.2,2,1.5,51.6,3.1,39.3,609.818
5/16/2023,Redoubt,2,66,3.3,2.1,1.2,37.4,5.7,66.4,806.079
5/16/2023,Redoubt,3,1,3.9,2,1.3,61.3,3.9,40.4,478.439
5/16/2023,Redoubt,3,66,3.5,2.4,1.3,43.8,5.4,60.5,662.201
6/25/2023,Redoubt,2,1,4,2.3,2.2,69.8,8.4,10.2,686.076
6/25/2023,Redoubt,2,66,4.3,2.6,2,35.7,4.2,60.3,546.271
6/25/2023,Redoubt,3,1,3.8,3.7,1.9,47.4,5,16.7,666.906
6/25/2023,Redoubt,3,66,4.1,2.3,1.3,58.2,3.4,66.2,659.954
7/25/2023,Redoubt,2,1,3.6,2.6,2.6,57.4,4.1,0.7,530.822
7/25/2023,Redoubt,2,66,2.7,1.6,1,34.7,4.1,75,579.975
7/25/2023,Redoubt,3,1,2.9,2,1.8,53.5,10.2,0.7,462.359
7/25/2023,Redoubt,3,66,2.7,1.6,0.9,34.9,10.7,72.9,536.299
8/30/2023,Redoubt,2,1,8,5,3.6,118.1,3.5,0.7,257.321
8/30/2023,Redoubt,2,66,3.7,2.9,2.2,27.4,4,68.2,258.164
8/30/2023,Redoubt,3,1,5.5,2.6,1.8,74.5,3.8,0.7,216.243
8/30/2023,Redoubt,3,66,3,1.2,0.6,29.7,2,64.5,331.542
9/28/2023,Redoubt,2,1,4.3,3,2.1,60.3,2.9,17.4,231.902
9/28/2023,Redoubt,2,66,2.1,1.1,1,19.6,2.2,64.8,643.945
9/28/2023,Redoubt,3,1,6.1,3.4,2.2,73.2,3.6,10.5,270.452
9/28/2023,Redoubt,3,66,2.3,1.1,0.9,22.7,2.6,71.5,604.482
10/26/2023,Redoubt,2,1,4.6,1.9,1.1,60.4,5.5,35.7,309.985
10/26/2023,Redoubt,2,66,2.6,1.4,0.9,36,4.2,75.9,737.054
10/26/2023,Redoubt,3,1,4.9,2.2,1.1,62.2,4.5,33.9,371.988
10/26/2023,Redoubt,3,66,2.3,1.2,7.9,36.3,3.9,71.3,787.05
4/25/2024,Redoubt,2,1,4.3,4.4,1.9,49,17.4,45.7,242.645
4/25/2024,Redoubt,2,66,3.9,2.6,1.2,105,9.4,56.1,436.378
4/25/2024,Redoubt,3,1,4.7,1.9,1.4,69.1,11.7,41.5,389.824
4/25/2024,Redoubt,3,66,2.8,2.5,0.8,40.5,10.8,56.8,235.132
7/23/2024,Redoubt,2,1,4.9,2.1,1.1,95.3,8.849,0.1,150.3
7/23/2024,Redoubt,2,66,3.5,1.9,0.9,101.3,2.547,0.1,99.4
7/23/2024,Redoubt,3,1,2.7,2.9,1.5,86.4,2.435,0.1,272.8
8/21/2024,Redoubt,2,1,3.8,2.1,0.8,83.6,12.021,0.1,111.5
8/21/2024,Redoubt,2,66,2.8,2.1,0.7,54.9,13.636,66,74.5
8/21/2024,Redoubt,3,1,3.2,2.1,1.1,85.7,3.947,0.1,113.2
8/21/2024,Redoubt,3,66,2.9,1.9,0.6,47.7,4.376,67.1,134.9
9/21/2024,Redoubt,3,1,4.5,2.6,0.9,114.2,30.666,16.1,193
9/21/2024,Redoubt,3,66,3.7,2,0.9,129.6,16.066,68.5,112.1
9/22/2024,Redoubt,2,1,4.6,2.4,0.9,92.5,24.4,15.9,0
9/22/2024,Redoubt,2,66,3.1,1.8,0.8,56.7,7.93,70.5,234.4
10/16/2024,Redoubt,2,1,5,1.2,0.9,54,9.469,41.3,223.3
10/16/2024,Redoubt,2,66,2.7,4.7,1.5,40,2.666,69.2,396.2
10/16/2024,Redoubt,3,1,7.8,0.8,1.1,69.5,3.62,41.2,337.7
10/16/2024,Redoubt,3,66,5.4,2.1,0.7,55.5,0.908,68.3,495.2
4/16/2025,Redoubt,2,1,3.576,1.69,0.583,43.8,10.7,83.1,513.01
4/16/2025,Redoubt,2,66,3.229,1.781,0.736,21.3,8.3,87.2,587.949
4/16/2025,Redoubt,3,1,3.932,1.682,0.227,29.1,15.8,80.7,294.782
4/16/2025,Redoubt,3,66,3.216,1.373,0.259,37.1,15.2,74.4,512.104
5/14/2025,Redoubt,2,1,3.803,2.236,0.325,69.3,12.2,61.1,445.73
5/14/2025,Redoubt,2,66,2.993,1.201,0.484,69.1,7,78.7,366.18
5/14/2025,Redoubt,3,1,3.582,1.677,0.412,50.1,13.9,81,392.367
5/14/2025,Redoubt,3,66,4.051,2.326,0.552,41,10.7,85.6,429.26
6/22/2025,Redoubt,2,1,4.003,4.093,1.671,77.9,10.2,15.7,392.861
6/22/2025,Redoubt,2,66,3.585,4.098,1.057,53.4,13.6,80.9,368.897
6/22/2025,Redoubt,3,1,3.873,2.665,0.844,87.4,15.5,28.8,348.063
6/22/2025,Redoubt,3,66,4.492,3.317,0.723,51,8,97.6,304.006
7/23/2025,Redoubt,2,1,5.205,3.491,1.268,112.4,9.7,2.2,158.822
7/23/2025,Redoubt,2,66,3.598,3.2,0.844,43,7.8,56.3,248.996
7/23/2025,Redoubt,3,1,3.113,3.189,0.832,85.6,8.3,3.9,144.246
7/23/2025,Redoubt,3,66,3.627,2.839,0.411,55.9,8.8,82,168.54
