"","Date","Year","Month","Julian_Day","pH","Station","Depth_m","PO4_P_mgl","TDP_mgl","UTP_mgl","NO3_N_plus_n02_mg_l","NH3_N_mg_l","UTN_mgl","SiO2_Si_mgl","Iron_mgl","Particulate_Carbon_mgl","Mg_mgl","Ca_mgl","Alkalinity_mg_ca03"
"1",1999-05-19,1999,5,139,6.9,"2",1,0.002,0.004,0.003,0.069,0.006,0.109,0.9,NA,NA,3.685,2.93,1.86
"2",1999-05-19,1999,5,139,6.9,"2",66,0.001,0.002,0.004,0.072,0.003,0.102,0.9,NA,NA,3.865,2.99,1.91
"3",1999-05-19,1999,5,139,7,"3",1,0.001,0.003,0.004,0.067,0.01,0.107,0.9,NA,NA,3.695,2.95,1.86
"4",1999-05-19,1999,5,139,6.9,"3",66,0.001,0.002,0.004,0.071,0.002,0.151,0.9,NA,NA,3.75,3,1.83
"5",1999-06-14,1999,6,165,7,"2",1,0.001,0.003,0.004,0.058,0.005,0.098,0.89,NA,NA,2.891,2.68,1.78
"6",1999-06-14,1999,6,165,7,"2",66,0.001,0.002,0.003,0.075,0.006,0.115,0.89,NA,NA,3.745,3,1.88
"7",1999-06-14,1999,6,165,7,"3",1,0,0.002,0.003,0.06,0.007,0.11,0.89,NA,NA,3.14,2.79,1.83
"8",1999-06-14,1999,6,165,6.9,"3",66,0,0.002,0.003,0.076,0.005,0.106,0.93,NA,NA,3.82,3.01,1.78
"9",1999-07-12,1999,7,193,6.9,"2",1,0.003,0.014,0.006,0.018,0.015,0.098,0.83,NA,NA,2.58,2.74,1.68
"10",1999-07-12,1999,7,193,5.8,"2",66,0.006,0.01,0.01,0.073,0.011,0.113,0.92,NA,NA,3.755,3.11,0.54
"11",1999-07-12,1999,7,193,7,"3",1,0.002,0.006,0.005,0.031,0.007,0.091,0.86,NA,NA,2.74,2.79,1.81
"12",1999-07-12,1999,7,193,7,"3",66,0.011,0.014,0.015,0.074,0.012,0.124,0.91,NA,NA,3.87,3.12,1.83
"13",1999-08-09,1999,8,221,4.5,"2",1,0.006,0.009,0.014,0.001,0,0.081,0.71,NA,NA,2.338,2.64,0
"14",1999-08-09,1999,8,221,6.6,"2",66,0.008,0.011,0.012,0.074,0,0.124,0.92,NA,NA,4.065,3.12,1.41
"15",1999-08-09,1999,8,221,4.8,"3",66,NA,0.008,0.007,0.074,0,0.114,0.92,NA,NA,4.095,3.1,0.1
"16",1999-09-12,1999,9,255,7,"2",1,0.002,0.003,0.009,0.001,0.002,0.071,0.7,NA,NA,2.359,2.58,1.72
"17",1999-09-12,1999,9,255,6.9,"2",66,0.001,0.002,0.003,0.076,0,0.106,0.93,NA,NA,4.035,3.15,1.87
"18",1999-09-12,1999,9,255,6.8,"3",66,0,0.002,0.003,0.075,0,0.105,0.9,NA,NA,4.16,3.14,1.69
"19",2000-04-25,2000,4,116,6.7,"2",1,0.006,0.009,0.014,0.063,0.018,0.133,0.86,NA,NA,3.344,2.84,1.27
"20",2000-04-25,2000,4,116,6.8,"3",1,0.001,0.003,0.004,0.059,0.002,0.099,0.89,NA,NA,3.44,2.93,1.39
"21",2000-04-25,2000,4,116,6.8,"3",66,0.001,0.002,0.004,0.063,0.002,0.103,0.89,NA,NA,3.51,2.88,1.51
"22",2000-05-23,2000,5,144,6.5,"2",1,0.002,0.002,0.002,0.055,0,0.095,0.86,NA,NA,3.308,2.83,1.24
"23",2000-05-23,2000,5,144,6.3,"2",66,0.001,0.002,0.001,0.065,0.001,0.105,0.88,NA,NA,3.539,2.9,0.97
"24",2000-05-23,2000,5,144,5.6,"3",66,0,0.002,0.004,0.069,0.002,0.099,0.89,NA,NA,3.775,2.95,0.46
"25",2000-06-12,2000,6,164,5.8,"2",1,0.002,0.001,0.007,0.032,0.003,0.062,0.82,NA,NA,2.857,2.72,0.52
"26",2000-06-12,2000,6,164,6.7,"2",66,0.003,0.002,0.004,0.074,0.003,0.104,0.88,NA,NA,3.779,3,1.32
"27",2000-06-12,2000,6,164,4.2,"3",1,0.006,0.006,0.009,0.034,0.005,0.074,0.82,NA,NA,2.974,2.76,0
"28",2000-07-16,2000,7,198,7,"2",1,0.001,0.003,0.008,0.001,0.002,0.061,0.5,NA,NA,2.498,2.68,1.67
"29",2000-07-16,2000,7,198,7,"3",1,0.001,0.003,0.005,0,0.001,0.06,0.51,NA,NA,2.641,2.72,1.69
"30",2000-07-16,2000,7,198,7,"3",66,0,0.002,0.005,0.071,0.005,0.111,0.89,NA,NA,4.134,3.11,1.77
"31",2000-08-13,2000,8,226,7.1,"2",1,0.001,0.005,0.009,0,0.003,0.08,0.46,NA,NA,2.274,2.53,1.77
